"IdDec","IdHex","Tag"
"0","0x0000","GpsVer"
"1","0x0001","GpsLatitudeRef"
"2","0x0002","GpsLatitude"
"3","0x0003","GpsLongitudeRef"
"4","0x0004","GpsLongitude"
"5","0x0005","GpsAltitudeRef"
"6","0x0006","GpsAltitude"
"7","0x0007","GpsGpsTime"
"8","0x0008","GpsGpsSatellites"
"9","0x0009","GpsGpsStatus"
"10","0x000A","GpsGpsMeasureMode"
"11","0x000B","GpsGpsDop"
"12","0x000C","GpsSpeedRef"
"13","0x000D","GpsSpeed"
"14","0x000E","GpsTrackRef"
"15","0x000F","GpsTrack"
"16","0x0010","GpsImgDirRef"
"17","0x0011","GpsImgDir"
"18","0x0012","GpsMapDatum"
"19","0x0013","GpsDestLatRef"
"20","0x0014","GpsDestLat"
"21","0x0015","GpsDestLongRef"
"22","0x0016","GpsDestLong"
"23","0x0017","GpsDestBearRef"
"24","0x0018","GpsDestBear"
"25","0x0019","GpsDestDistRef"
"26","0x001A","GpsDestDist"
"254","0x00FE","NewSubfileType"
"255","0x00FF","SubfileType"
"256","0x0100","ImageWidth"
"257","0x0101","ImageHeight"
"258","0x0102","BitsPerSample"
"259","0x0103","Compression"
"262","0x0106","PhotometricInterp"
"263","0x0107","ThreshHolding"
"264","0x0108","CellWidth"
"265","0x0109","CellHeight"
"266","0x010A","FillOrder"
"269","0x010D","DocumentName"
"270","0x010E","ImageDescription"
"271","0x010F","EquipMake"
"272","0x0110","EquipModel"
"273","0x0111","StripOffsets"
"274","0x0112","Orientation"
"277","0x0115","SamplesPerPixel"
"278","0x0116","RowsPerStrip"
"279","0x0117","StripBytesCount"
"280","0x0118","MinSampleValue"
"281","0x0119","MaxSampleValue"
"282","0x011A","XResolution"
"283","0x011B","YResolution"
"284","0x011C","PlanarConfig"
"285","0x011D","PageName"
"286","0x011E","XPosition"
"287","0x011F","YPosition"
"288","0x0120","FreeOffset"
"289","0x0121","FreeByteCounts"
"290","0x0122","GrayResponseUnit"
"291","0x0123","GrayResponseCurve"
"292","0x0124","T4Option"
"293","0x0125","T6Option"
"296","0x0128","ResolutionUnit"
"297","0x0129","PageNumber"
"301","0x012D","TransferFunction"
"305","0x0131","SoftwareUsed"
"306","0x0132","DateTime"
"315","0x013B","Artist"
"316","0x013C","HostComputer"
"317","0x013D","Predictor"
"318","0x013E","WhitePoint"
"319","0x013F","PrimaryChromaticities"
"320","0x0140","ColorMap"
"321","0x0141","HalftoneHints"
"322","0x0142","TileWidth"
"323","0x0143","TileLength"
"324","0x0144","TileOffset"
"325","0x0145","TileByteCounts"
"332","0x014C","InkSet"
"333","0x014D","InkNames"
"334","0x014E","NumberOfInks"
"336","0x0150","DotRange"
"337","0x0151","TargetPrinter"
"338","0x0152","ExtraSamples"
"339","0x0153","SampleFormat"
"340","0x0154","SMinSampleValue"
"341","0x0155","SMaxSampleValue"
"342","0x0156","TransferRange"
"512","0x0200","JPEGProc"
"513","0x0201","JPEGInterFormat"
"514","0x0202","JPEGInterLength"
"515","0x0203","JPEGRestartInterval"
"517","0x0205","JPEGLosslessPredictors"
"518","0x0206","JPEGPointTransforms"
"519","0x0207","JPEGQTables"
"520","0x0208","JPEGDCTables"
"521","0x0209","JPEGACTables"
"529","0x0211","YCbCrCoefficients"
"530","0x0212","YCbCrSubsampling"
"531","0x0213","YCbCrPositioning"
"532","0x0214","REFBlackWhite"
"769","0x0301","Gamma"
"770","0x0302","ICCProfileDescriptor"
"771","0x0303","SRGBRenderingIntent"
"800","0x0320","ImageTitle"
"20481","0x5001","ResolutionXUnit"
"20482","0x5002","ResolutionYUnit"
"20483","0x5003","ResolutionXLengthUnit"
"20484","0x5004","ResolutionYLengthUnit"
"20485","0x5005","PrintFlags"
"20486","0x5006","PrintFlagsVersion"
"20487","0x5007","PrintFlagsCrop"
"20488","0x5008","PrintFlagsBleedWidth"
"20489","0x5009","PrintFlagsBleedWidthScale"
"20490","0x500A","HalftoneLPI"
"20491","0x500B","HalftoneLPIUnit"
"20492","0x500C","HalftoneDegree"
"20493","0x500D","HalftoneShape"
"20494","0x500E","HalftoneMisc"
"20495","0x500F","HalftoneScreen"
"20496","0x5010","JPEGQuality"
"20497","0x5011","GridSize"
"20498","0x5012","ThumbnailFormat"
"20499","0x5013","ThumbnailWidth"
"20500","0x5014","ThumbnailHeight"
"20501","0x5015","ThumbnailColorDepth"
"20502","0x5016","ThumbnailPlanes"
"20503","0x5017","ThumbnailRawBytes"
"20504","0x5018","ThumbnailSize"
"20505","0x5019","ThumbnailCompressedSize"
"20506","0x501A","ColorTransferFunction"
"20507","0x501B","ThumbnailData"
